scenario,year,cumulative_npv_aud
Base case,0,310829090.90909094
Base case,1,334773794.4663395
Base case,2,356944816.2786068
Base case,3,377473540.1788542
Base case,4,396481617.86426854
Base case,5,414081689.7952077
Base case,6,430378052.69422543
Base case,7,445467277.6007233
Base case,8,459438782.14377695
Base case,9,472375360.42438215
Base case,10,484353673.6471647
Base case,11,495444704.4090004
Base case,12,505714177.33662605
Base case,13,515222948.5659091
Base case,14,524027366.3708008
Base case,15,532179605.07903385
Base case,16,539727974.2533237
Base case,17,546717204.9702587
Base case,18,553188714.8933467
Base case,19,559180853.7110207
Base case,20,577087107.1405259
Base case,21,582224400.3655552
Base case,22,586981153.3516933
Base case,23,591385554.2647842
Base case,24,595463703.2583869
Base case,25,599239767.1413523
Fuel price +20%,0,310829090.90909094
Fuel price +20%,1,337520587.9153794
Fuel price +20%,2,362234936.9952761
Fuel price +20%,3,385118593.550736
Fuel price +20%,4,406307164.4354211
Fuel price +20%,5,425926211.5508703
Fuel price +20%,6,444091995.91702694
Fuel price +20%,7,460912166.6264312
Fuel price +20%,8,476486398.76476854
Fuel price +20%,9,490906984.0780438
Fuel price +20%,10,504259377.886632
Fuel price +20%,11,516622705.48717666
Fuel price +20%,12,528070231.0432365
Fuel price +20%,13,538669791.7432919
Fuel price +20%,14,548484199.7988987
Fuel price +20%,15,557571614.6652013
Fuel price +20%,16,565985887.6895556
Fuel price +20%,17,573776881.2306244
Fuel price +20%,18,580990764.1390215
Fuel price +20%,19,587670285.3505002
Fuel price +20%,20,606213003.9594542
Fuel price +20%,21,611939616.7950841
Fuel price +20%,22,617242036.087334
Fuel price +20%,23,622151683.580158
Fuel price +20%,24,626697653.4809209
Fuel price +20%,25,630906884.8705163
Fuel price -20%,0,310829090.90909094
Fuel price -20%,1,332027001.0172997
Fuel price -20%,2,351654695.56193745
Fuel price -20%,3,369828486.8069724
Fuel price -20%,4,386656071.29311585
Fuel price -20%,5,402237168.039545
Fuel price -20%,6,416664109.47142386
Fuel price -20%,7,430022388.57501537
Fuel price -20%,8,442391165.5227853
Fuel price -20%,9,453843736.7707204
Fuel price -20%,10,464447969.4076974
Fuel price -20%,11,474266703.3308242
Fuel price -20%,12,483358123.6300157
Fuel price -20%,13,491776105.3885263
Fuel price -20%,14,499570532.94270283
Fuel price -20%,15,506787595.4928663
Fuel price -20%,16,513470060.8170917
Fuel price -20%,17,519657528.709893
Fuel price -20%,18,525386665.64767194
Fuel price -20%,19,530691422.07154137
Fuel price -20%,20,547961210.3215978
Fuel price -20%,21,552509183.9360263
Fuel price -20%,22,556720270.6160527
Fuel price -20%,23,560619424.9494106
Fuel price -20%,24,564229753.0358529
Fuel price -20%,25,567572649.4121884
Load growth +10%,0,310829090.90909094
Load growth +10%,1,338460045.0975061
Load growth +10%,2,364044261.9386313
Load growth +10%,3,387733351.6063398
Load growth +10%,4,409667693.8912551
Load growth +10%,5,429977270.08099145
Load growth +10%,6,448782433.2196362
Load growth +10%,7,466194621.31097394
Load growth +10%,8,482317017.6918422
Load growth +10%,9,497245162.48894244
Load growth +10%,10,511067518.7825538
Load growth +10%,11,523865996.8321939
Load growth +10%,12,535716439.4707496
Load growth +10%,13,546689071.5434864
Load growth +10%,14,556848916.0552796
Load growth +10%,15,566256179.4921253
Load growth +10%,16,574966608.6003157
Load growth +10%,17,583031820.737529
Load growth +10%,18,590499609.7534673
Load growth +10%,19,597414229.2126694
Load growth +10%,20,616174631.3843302
Load growth +10%,21,622102803.0743183
Load growth +10%,22,627591850.9354184
Load growth +10%,23,632674302.6586592
Load growth +10%,24,637380276.4764748
Load growth +10%,25,641737659.6411188
Load growth -10%,0,310829090.90909094
Load growth -10%,1,331500937.7102913
Load growth -10%,2,350641536.60029167
Load growth -10%,3,368364313.350292
Load growth -10%,4,384774291.82251453
Load growth -10%,5,399968716.33383167
Load growth -10%,6,414037627.9183846
Load growth -10%,7,427064397.90408176
Load growth -10%,8,439126221.9649125
Load growth -10%,9,450294577.5767927
Load growth -10%,10,460635647.587793
Load growth -10%,11,470210712.4127932
Load growth -10%,12,479076513.1766823
Load growth -10%,13,487285587.9580611
Load growth -10%,14,494886583.1260044
Load growth -10%,15,501924541.6148408
Load growth -10%,16,508441169.8452449
Load growth -10%,17,514475084.8733968
Load growth -10%,18,520062043.2327967
Load growth -10%,19,525235152.8248337
Load growth -10%,20,542383045.8602304
Load growth -10%,21,546818153.5351592
Load growth -10%,22,550924734.7156489
Load growth -10%,23,554727124.6975838
Load growth -10%,24,558247856.1623383
Load growth -10%,25,561507792.7037776
